"Test matches, career batting records",,,,,,,,,,
,,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,Hundred,Fifty,Duck
FJ Titmus (England),1955-1975,53,76,11,1449,84*,22.29,0,10,4
RW Tolchard (England),1977-1977,4,7,2,129,67,25.8,0,1,1
CL Townsend (England),1899-1899,2,3,0,51,38,17,0,0,0
DCH Townsend (England),1935-1935,3,6,0,77,36,12.83,0,0,0
LF Townsend (England),1930-1934,4,6,0,97,40,16.16,0,0,0
JC Tredwell (England),2010-2015,2,2,0,45,37,22.5,0,0,0
CT Tremlett (England),2007-2013,12,15,4,113,25*,10.27,0,0,3
MF Tremlett (England),1948-1948,3,5,2,20,18*,6.66,0,0,2
ME Trescothick (England),2000-2006,76,143,10,5825,219,43.79,14,29,12
AE Trott (England),1899-1899,2,4,0,23,16,5.75,0,0,1
IJL Trott (England),2009-2015,52,93,6,3835,226,44.08,9,19,8
FS Trueman (England),1952-1965,67,85,14,981,39*,13.81,0,0,11
AJ Tudor (England),1998-2002,10,16,4,229,99*,19.08,0,1,2
NC Tufnell (England),1910-1910,1,1,0,14,14,14,0,0,0
PCR Tufnell (England),1990-2001,42,59,29,153,22*,5.1,0,0,15
MJL Turnbull (England),1930-1936,9,13,2,224,61,20.36,0,1,1
GE Tyldesley (England),1921-1929,14,20,2,990,122,55,3,6,2
JT Tyldesley (England),1899-1909,31,55,1,1661,138,30.75,4,9,4
RK Tyldesley (England),1924-1930,7,7,1,47,29,7.83,0,0,1
EFS Tylecote (England),1882-1886,6,9,1,152,66,19,0,1,4
EJ Tyler (England),1896-1896,1,1,0,0,0,0,0,0,1
FH Tyson (England),1954-1959,17,24,3,230,37*,10.95,0,0,3
SD Udal (England),2005-2006,4,7,1,109,33*,18.16,0,0,1
G Ulyett (England),1877-1890,25,39,0,949,149,24.33,1,7,6
DL Underwood (England),1966-1982,86,116,35,937,45*,11.56,0,0,19
BH Valentine (England),1933-1939,7,9,2,454,136,64.85,2,1,0
MP Vaughan (England),1999-2008,82,147,9,5719,197,41.44,18,18,9
H Verity (England),1931-1939,40,44,12,669,66*,20.9,0,3,4
GF Vernon (England),1882-1883,1,2,1,14,11*,14,0,0,0
JM Vince (England),2016-2018,13,22,0,548,83,24.9,0,3,2
J Vine (England),1912-1912,2,3,2,46,36,46,0,0,0
W Voce (England),1930-1947,27,38,15,308,66,13.39,0,1,6
A Waddington (England),1920-1921,2,4,0,16,7,4,0,0,1
E Wainwright (England),1893-1898,5,9,0,132,49,14.66,0,0,0
PM Walker (England),1960-1960,3,4,0,128,52,32,0,1,0
CF Walters (England),1933-1934,11,18,3,784,102,52.26,1,7,0
A Ward (England),1893-1895,7,13,0,487,117,37.46,1,3,1
A Ward (England),1969-1976,5,6,1,40,21,8,0,0,4
IJ Ward (England),2001-2001,5,9,1,129,39,16.12,0,0,1
JH Wardle (England),1948-1957,28,41,8,653,66,19.78,0,2,5
PF Warner (England),1899-1912,15,28,2,622,132*,23.92,1,3,4
JJ Warr (England),1951-1951,2,4,0,4,4,1,0,0,3
A Warren (England),1905-1905,1,1,0,7,7,7,0,0,0
C Washbrook (England),1937-1956,37,66,6,2569,195,42.81,6,12,2
SL Watkin (England),1991-1993,3,5,0,25,13,5,0,0,1
AJ Watkins (England),1948-1952,15,24,4,810,137*,40.5,2,4,2
M Watkinson (England),1995-1996,4,6,1,167,82*,33.4,0,1,1
W Watson (England),1951-1959,23,37,3,879,116,25.85,2,3,3
AJ Webbe (England),1879-1879,1,2,0,4,4,2,0,0,1
AW Wellard (England),1937-1938,2,4,0,47,38,11.75,0,0,1
AP Wells (England),1995-1995,1,2,1,3,3*,3,0,0,1
T Westley (England),2017-2017,5,9,1,193,59,24.12,0,1,0
A Wharton (England),1949-1949,1,2,0,20,13,10,0,0,0
JJ Whitaker (England),1986-1986,1,1,0,11,11,11,0,0,0
C White (England),1994-2002,30,50,7,1052,121,24.46,1,5,8
DW White (England),1961-1962,2,2,0,0,0,0,0,0,2
JC White (England),1921-1931,15,22,9,239,29,18.38,0,0,1
WW Whysall (England),1925-1930,4,7,0,209,76,29.85,0,2,0
LL Wilkinson (England),1938-1939,3,2,1,3,2,3,0,0,0
P Willey (England),1976-1986,26,50,6,1184,102*,26.9,2,5,2
NF Williams (England),1990-1990,1,1,0,38,38,38,0,0,0
RGD Willis (England),1971-1984,90,128,55,840,28*,11.5,0,0,12
CEM Wilson (England),1899-1899,2,4,1,42,18,14,0,0,0
D Wilson (England),1964-1971,6,7,1,75,42,12.5,0,0,0
ER Wilson (England),1921-1921,1,2,0,10,5,5,0,0,0
CR Woakes (England),2013-2018,24*,40,9,863,66,27.83,0,4,4
A Wood (England),1938-1939,4,5,1,80,53,20,0,1,1
B Wood (England),1972-1978,12,21,0,454,90,21.61,0,2,1
GEC Wood (England),1924-1924,3,2,0,7,6,3.5,0,0,0
H Wood (England),1888-1892,4,4,1,204,134*,68,1,1,0
MA Wood (England),2015-2018,12,22,5,291,52,17.11,0,1,2
R Wood (England),1887-1887,1,2,0,6,6,3,0,0,1
SMJ Woods (England),1896-1896,3,4,0,122,53,30.5,0,1,0
FE Woolley (England),1909-1934,64,98,7,3283,154,36.07,5,23,13
RA Woolmer (England),1975-1981,19,34,2,1059,149,33.09,3,2,4
TS Worthington (England),1930-1937,9,11,0,321,128,29.18,1,1,4
CW Wright (England),1896-1896,3,4,0,125,71,31.25,0,1,0
DVP Wright (England),1938-1951,34,39,13,289,45,11.11,0,0,7
RES Wyatt (England),1927-1937,40,64,6,1839,149,31.7,2,12,6
EG Wynyard (England),1896-1906,3,6,0,72,30,12,0,0,2
NWD Yardley (England),1938-1950,20,34,2,812,99,25.37,0,4,2
HI Young (England),1899-1899,2,2,0,43,43,21.5,0,0,1
JA Young (England),1947-1949,8,10,5,28,10*,5.6,0,0,3
RA Young (England),1907-1908,2,4,0,27,13,6.75,0,0,1
VR Aaron (India),2011-2015,9,14,5,35,9,3.88,0,0,1
Abdul Hafeez (India),1946-1946,3,5,0,80,43,16,0,0,1
S Abid Ali (India),1967-1974,29,53,3,1018,81,20.36,0,6,3
HR Adhikari (India),1947-1959,21,36,8,872,114*,31.14,1,4,5
AB Agarkar (India),1998-2006,26,39,5,571,109*,16.79,1,0,9
L Amarnath (India),1933-1952,24,40,4,878,118,24.38,1,4,5
M Amarnath (India),1969-1988,69,113,10,4378,138,42.5,11,24,12
S Amarnath (India),1976-1978,10,18,0,550,124,30.55,1,3,1
L Amar Singh (India),1932-1936,7,14,1,292,51,22.46,0,1,1
Amir Elahi (India),1947-1947,1,2,0,17,13,8.5,0,0,0
PK Amre (India),1992-1993,11,13,3,425,103,42.5,1,3,0
SA Ankola (India),1989-1989,1,1,0,6,6,6,0,0,0
AL Apte (India),1959-1959,1,2,0,15,8,7.5,0,0,0
ML Apte (India),1952-1953,7,13,2,542,163*,49.27,1,3,1
Arshad Ayub (India),1987-1989,13,19,4,257,57,17.13,0,1,1
B Arun (India),1986-1987,2,2,1,4,2*,4,0,0,0
J Arun Lal (India),1982-1989,16,29,1,729,93,26.03,0,6,1
R Ashwin (India),2011-2018,57,80,10,2145,124,30.64,4,11,3
KBJ Azad (India),1981-1983,7,12,0,135,24,11.25,0,0,2
M Azharuddin (India),1984-2000,99,147,9,6215,199,45.03,22,21,5
HK Badani (India),2001-2001,4,7,1,94,38,15.66,0,0,0
S Badrinath (India),2010-2010,2,3,0,63,56,21,0,1,0
SV Bahutule (India),2001-2001,2,4,1,39,21*,13,0,0,2
AA Baig (India),1959-1967,10,18,0,428,112,23.77,1,2,1
L Balaji (India),2003-2005,8,9,0,51,31,5.66,0,0,4
SA Banerjee (India),1948-1949,1,1,0,0,0,0,0,0,1
SN Banerjee (India),1949-1949,1,2,0,13,8,6.5,0,0,0
ST Banerjee (India),1992-1992,1,1,0,3,3,3,0,0,0
SB Bangar (India),2001-2002,12,18,2,470,100*,29.37,1,3,2
M Baqa Jilani (India),1936-1936,1,2,1,16,12,16,0,0,0
BS Bedi (India),1966-1979,67,101,28,656,50*,8.98,0,1,20
P Bhandari (India),1955-1956,3,4,0,77,39,19.25,0,0,0
AR Bhat (India),1983-1983,2,3,1,6,6,3,0,0,1
RMH Binny (India),1979-1987,27,41,5,830,83*,23.05,0,5,7
STR Binny (India),2014-2015,6,10,1,194,78,21.55,0,1,2
CG Borde (India),1958-1969,55,97,11,3061,177*,35.59,5,18,13
JJ Bumrah (India),2018-2018,3,6,2,4,2,1,0,0,2
BS Chandrasekhar (India),1964-1979,58,80,39,167,22,4.07,0,0,23
CPS Chauhan (India),1969-1981,40,68,2,2084,97,31.57,0,16,6
RK Chauhan (India),1993-1998,21,17,3,98,23,7,0,0,1
PP Chawla (India),2006-2012,3,3,0,6,4,2,0,0,0
A Chopra (India),2003-2004,10,19,0,437,60,23,0,2,1
N Chopra (India),2000-2000,1,2,0,7,4,3.5,0,0,0
NR Chowdhury (India),1949-1951,2,2,1,3,3*,3,0,0,1
SHM Colah (India),1932-1933,2,4,0,69,31,17.25,0,0,0
NJ Contractor (India),1955-1962,31,52,1,1611,108,31.58,1,11,2
V Dahiya (India),2000-2000,2,1,1,2,2*,-,0,0,0
HT Dani (India),1952-1952,1,-,-,-,-,-,-,-,-
SS Das (India),2000-2002,23,40,2,1326,110,34.89,2,9,3
D Dasgupta (India),2001-2002,8,13,1,344,100,28.66,1,2,2
RB Desai (India),1959-1968,28,44,13,418,85,13.48,0,1,8
S Dhawan (India),2013-2018,29,49,1,2046,190,42.62,6,5,4
MS Dhoni (India),2005-2014,90,144,16,4876,224,38.09,6,33,10
SS Dighe (India),2001-2001,6,10,1,141,47,15.66,0,0,1
Dilawar Hussain (India),1934-1936,3,6,0,254,59,42.33,0,3,0
RV Divecha (India),1951-1952,5,5,0,60,26,12,0,0,0
DR Doshi (India),1979-1983,33,38,10,129,20,4.6,0,0,14
R Dravid (India),1996-2012,163,284,32,13265,270,52.63,36,63,7
SA Durani (India),1960-1973,29,50,2,1202,104,25.04,1,7,4
FM Engineer (India),1961-1975,46,87,3,2611,121,31.08,2,16,7
CV Gadkari (India),1953-1955,6,10,4,129,50*,21.5,0,1,2
AD Gaekwad (India),1974-1985,40,70,4,1985,201,30.07,2,10,4
DK Gaekwad (India),1952-1961,11,20,1,350,52,18.42,0,1,3
HG Gaekwad (India),1952-1952,1,2,0,22,14,11,0,0,0
G Gambhir (India),2004-2016,58,104,5,4154,206,41.95,9,22,7
DJ Gandhi (India),1999-1999,4,7,1,204,88,34,0,2,2
A Gandotra (India),1969-1969,2,4,0,54,18,13.5,0,0,0
D Ganesh (India),1997-1997,4,7,3,25,8,6.25,0,0,0
SC Ganguly (India),1996-2008,113,188,17,7212,239,42.17,16,35,13
SM Gavaskar (India),1971-1987,125,214,16,10122,236*,51.12,34,45,12
KD Ghavri (India),1974-1981,39,57,14,913,86,21.23,0,2,2
JM Ghorpade (India),1953-1959,8,15,0,229,41,15.26,0,0,3
Ghulam Ahmed (India),1948-1959,22,31,9,192,50,8.72,0,1,9
MJ Gopalan (India),1934-1934,1,2,1,18,11*,18,0,0,0
CD Gopinath (India),1951-1960,8,12,1,242,50*,22,0,1,4
GM Guard (India),1958-1960,2,2,0,11,7,5.5,0,0,0
S Guha (India),1967-1969,4,7,2,17,6,3.4,0,0,1
Gul Mohammad (India),1946-1952,8,15,0,166,34,11.06,0,0,2
BP Gupte (India),1961-1965,3,3,2,28,17*,28,0,0,0
SP Gupte (India),1951-1961,36,42,13,183,21,6.31,0,0,6
Gursharan Singh (India),1990-1990,1,1,0,18,18,18,0,0,0
Hanumant Singh (India),1964-1969,14,24,2,686,105,31.18,1,5,3
Harbhajan Singh (India),1998-2015,103,145,23,2224,115,18.22,2,9,19
MS Hardikar (India),1958-1958,2,4,1,56,32*,18.66,0,0,1
Harvinder Singh (India),1998-2001,3,4,1,6,6,2,0,0,2
VS Hazare (India),1946-1953,30,52,6,2192,164*,47.65,7,9,4
DD Hindlekar (India),1936-1946,4,7,2,71,26,14.2,0,0,0
ND Hirwani (India),1988-1996,17,22,12,54,17,5.4,0,0,5
KC Ibrahim (India),1948-1949,4,8,0,169,85,21.12,0,1,1
KS Indrajitsinhji (India),1964-1969,4,7,1,51,23,8.5,0,0,1
JK Irani (India),1947-1947,2,3,2,3,2*,3,0,0,1
A Jadeja (India),1992-2000,15,24,2,576,96,26.18,0,4,1
RA Jadeja (India),2012-2017,35,52,12,1176,90,29.4,0,8,3
W Jaffer (India),2000-2008,31,58,1,1944,212,34.1,5,11,6
M Jahangir Khan (India),1932-1936,4,7,0,39,13,5.57,0,0,1
LP Jai (India),1933-1933,1,2,0,19,19,9.5,0,0,1
ML Jaisimha (India),1959-1971,39,71,4,2056,129,30.68,3,12,9
RJD Jamshedji (India),1933-1933,1,2,2,5,4*,-,0,0,0
HK Jayantilal (India),1971-1971,1,1,0,5,5,5,0,0,0
DJ Johnson (India),1996-1996,2,3,1,8,5,4,0,0,0
PG Joshi (India),1951-1960,12,20,1,207,52*,10.89,0,1,3
SB Joshi (India),1996-2000,15,19,2,352,92,20.7,0,1,2
M Kaif (India),2000-2006,13,22,3,624,148*,32.84,1,3,1
VG Kambli (India),1993-1995,17,21,1,1084,227,54.2,4,3,3
HH Kanitkar (India),1999-2000,2,4,0,74,45,18.5,0,0,0
HS Kanitkar (India),1974-1974,2,4,0,111,65,27.75,0,1,0
N Kapil Dev (India),1978-1994,131,184,15,5248,163,31.05,8,27,16
AR Kapoor (India),1994-1996,4,6,1,97,42,19.4,0,0,0
SS Karim (India),2000-2000,1,1,0,15,15,15,0,0,0
KD Karthik (India),2004-2010,23,37,1,1000,129,27.77,1,7,2
M Kartik (India),2000-2004,8,10,1,88,43,9.77,0,0,2
RB Kenny (India),1958-1960,5,10,1,245,62,27.22,0,3,2
Z Khan (India),2000-2014,92,127,24,1231,75,11.95,0,3,29
SMH Kirmani (India),1976-1986,88,124,22,2759,102,27.04,2,12,7
G Kishenchand (India),1947-1952,5,10,0,89,44,8.9,0,0,5
V Kohli (India),2011-2018,66,112,8,5554,243,53.4,21,16,6
AG Kripal Singh (India),1955-1964,14,20,5,422,100*,28.13,1,2,4
P Krishnamurthy (India),1971-1971,5,6,0,33,20,5.5,0,0,2
Kuldeep Yadav (India),2017-2017,2,2,0,33,26,16.5,0,0,0
NM Kulkarni (India),1997-2001,3,2,1,5,4,5,0,0,0
RR Kulkarni (India),1986-1987,3,2,0,2,2,1,0,0,1
UN Kulkarni (India),1967-1968,4,8,5,13,7,4.33,0,0,1
B Kumar (India),2013-2018,21,29,4,552,63*,22.08,0,3,4
P Kumar (India),2011-2011,6,10,0,149,40,14.9,0,0,2
VV Kumar (India),1961-1961,2,2,0,6,6,3,0,0,1
A Kumble (India),1990-2008,132,173,32,2506,110*,17.77,1,5,17
BK Kunderan (India),1960-1967,18,34,4,981,192,32.7,2,3,1
A Kuruvilla (India),1997-1997,10,11,1,66,35*,6.6,0,0,5
Lall Singh (India),1932-1932,1,2,0,44,29,22,0,0,0
R Lamba (India),1986-1987,4,5,0,102,53,20.4,0,1,1
VVS Laxman (India),1996-2012,134,225,34,8781,281,45.97,17,56,14
S Madan Lal (India),1974-1986,39,62,16,1042,74,22.65,0,5,7
ES Maka (India),1952-1953,2,1,1,2,2*,-,0,0,0
AO Malhotra (India),1982-1985,7,10,1,226,72*,25.11,0,1,2
Maninder Singh (India),1982-1993,35,38,12,99,15,3.8,0,0,11
SV Manjrekar (India),1987-1996,37,61,6,2043,218,37.14,4,9,3
VL Manjrekar (India),1951-1965,55,92,10,3208,189*,39.12,7,15,11
AV Mankad (India),1969-1978,22,42,3,991,97,25.41,0,6,3
MH Mankad (India),1946-1959,44,72,5,2109,231,31.47,5,6,7
MK Mantri (India),1951-1955,4,8,1,67,39,9.57,0,0,2
KR Meherhomji (India),1936-1936,1,1,1,0,0*,-,0,0,0
VL Mehra (India),1955-1964,8,14,1,329,62,25.3,0,2,1
VM Merchant (India),1933-1951,10,18,0,859,154,47.72,3,3,2
PL Mhambrey (India),1996-1996,2,3,1,58,28,29,0,0,0
AG Milkha Singh (India),1960-1961,4,6,0,92,35,15.33,0,0,0
A Mishra (India),2008-2016,22,32,2,648,84,21.6,0,4,4
A Mithun (India),2010-2011,4,5,0,120,46,24,0,0,1
RS Modi (India),1946-1952,10,17,1,736,112,46,1,6,0
Mohammed Shami (India),2013-2018,30,40,13,398,51*,14.74,0,1,5
DS Mohanty (India),1997-1997,2,1,1,0,0*,-,0,0,0
NR Mongia (India),1994-2001,44,68,8,1442,152,24.03,1,6,6
KS More (India),1986-1993,49,64,14,1285,73,25.7,0,7,7
VM Muddiah (India),1959-1960,2,3,1,11,11,5.5,0,0,1
A Mukund (India),2011-2017,7,14,0,320,81,22.85,0,2,3
S Mushtaq Ali (India),1934-1952,11,20,1,612,112,32.21,2,3,1
RG Nadkarni (India),1955-1968,41,67,12,1414,122*,25.7,1,7,6
SS Naik (India),1974-1975,3,6,0,141,77,23.5,0,1,1
KK Nair (India),2016-2017,6,7,1,374,303*,62.33,1,0,1
Naoomal Jaoomal (India),1932-1934,3,5,1,108,43,27,0,0,0
MV Narasimha Rao (India),1978-1979,4,6,1,46,20*,9.2,0,0,0
JG Navle (India),1932-1933,2,4,0,42,13,10.5,0,0,0
SV Nayak (India),1982-1982,2,3,1,19,11,9.5,0,0,0
CK Nayudu (India),1932-1936,7,14,0,350,81,25,0,2,0
CS Nayudu (India),1934-1952,11,19,3,147,36,9.18,0,0,3
S Nazir Ali (India),1932-1934,2,4,0,30,13,7.5,0,0,0
A Nehra (India),1999-2004,17,25,11,77,19,5.5,0,0,10
M Nissar (India),1932-1936,6,11,3,55,14,6.87,0,0,2
S Nyalchand (India),1952-1952,1,2,1,7,6*,7,0,0,0
NV Ojha (India),2015-2015,1,2,0,56,35,28,0,0,0
PP Ojha (India),2009-2013,24,27,17,89,18*,8.9,0,0,4
AM Pai (India),1969-1969,1,2,0,10,9,5,0,0,0
PE Palia (India),1932-1936,2,4,1,29,16,9.66,0,0,0
CS Pandit (India),1986-1992,5,8,1,171,39,24.42,0,0,0
HH Pandya (India),2017-2018,6,9,0,297,108,33,1,2,1
Pankaj Singh (India),2014-2014,2,4,1,10,9,3.33,0,0,2
GAHM Parkar (India),1982-1982,1,2,0,7,6,3.5,0,0,0
RD Parkar (India),1972-1973,2,4,0,80,35,20,0,0,0
DD Parsana (India),1979-1979,2,2,0,1,1,0.5,0,0,1
CT Patankar (India),1955-1956,1,2,1,14,13,14,0,0,0
MAK Pataudi (India),1961-1975,46,83,3,2793,203*,34.91,6,16,7
Nawab of Pataudi (India),1946-1946,3,5,0,55,22,11,0,0,0
BP Patel (India),1974-1977,21,38,5,972,115*,29.45,1,5,0
JM Patel (India),1955-1960,7,10,1,25,12,2.77,0,0,5
MM Patel (India),2006-2011,13,14,6,60,15*,7.5,0,0,4
PA Patel (India),2002-2018,25,38,8,934,71,31.13,0,6,4
RGM Patel (India),1988-1988,1,2,0,0,0,0,0,0,2
IK Pathan (India),2003-2008,29,40,5,1105,102,31.57,1,6,5
Yuvraj of Patiala (India),1934-1934,1,2,0,84,60,42,0,1,0
SM Patil (India),1980-1984,29,47,4,1588,174,36.93,4,7,4
SR Patil (India),1955-1955,1,1,1,14,14*,-,0,0,0
DG Phadkar (India),1947-1959,31,45,7,1229,123,32.34,2,8,3
RR Powar (India),2007-2007,2,2,0,13,7,6.5,0,0,0
M Prabhakar (India),1984-1995,39,58,9,1600,120,32.65,1,9,3
BKV Prasad (India),1996-2001,33,47,20,203,30*,7.51,0,0,10
MSK Prasad (India),1999-2000,6,10,1,106,19,11.77,0,0,0
EAS Prasanna (India),1962-1978,49,84,20,735,37,11.48,0,0,15
CA Pujara (India),2010-2018,57,96,7,4496,206*,50.51,14,17,4
PH Punjabi (India),1955-1955,5,10,0,164,33,16.4,0,0,0
AM Rahane (India),2013-2018,44,75,9,2883,188,43.68,9,12,5
KL Rahul (India),2014-2018,23,37,1,1458,199,40.5,4,10,3
SK Raina (India),2010-2015,18,31,2,768,120,26.48,1,7,8
K Rai Singh (India),1948-1948,1,2,0,26,24,13,0,0,0
V Rajindernath (India),1952-1952,1,-,-,-,-,-,-,-,-
Rajinder Pal (India),1964-1964,1,2,1,6,3*,6,0,0,0
LS Rajput (India),1985-1985,2,4,0,105,61,26.25,0,1,1
SLV Raju (India),1990-2001,28,34,10,240,31,10,0,0,3
WV Raman (India),1988-1997,11,19,1,448,96,24.88,0,4,4
C Ramaswami (India),1936-1936,2,4,1,170,60,56.66,0,1,0
GS Ramchand (India),1952-1960,33,53,5,1180,109,24.58,2,5,6
S Ramesh (India),1999-2001,19,37,1,1367,143,37.97,2,8,3
L Ramji (India),1933-1933,1,2,0,1,1,0.5,0,0,1
CR Rangachari (India),1948-1948,4,6,3,8,8*,2.66,0,0,3
KM Rangnekar (India),1947-1948,3,6,0,33,18,5.5,0,0,2
VB Ranjane (India),1958-1964,7,9,3,40,16,6.66,0,0,1
V Rathour (India),1996-1997,6,10,0,131,44,13.1,0,0,0
A Ratra (India),2002-2002,6,10,1,163,115*,18.11,1,0,1
V Razdan (India),1989-1989,2,2,1,6,6*,6,0,0,1
B Reddy (India),1979-1979,4,5,1,38,21,9.5,0,0,2
MR Rege (India),1949-1949,1,2,0,15,15,7.5,0,0,1
AK Roy (India),1969-1969,4,7,0,91,48,13,0,0,2
P Roy (India),1951-1960,43,79,4,2442,173,32.56,5,9,14
P Roy (India),1982-1982,2,3,1,71,60*,35.5,0,1,0
WP Saha (India),2010-2018,32,46,8,1164,117,30.63,3,5,6
BS Sandhu (India),1983-1983,8,11,4,214,71,30.57,0,2,1
RL Sanghvi (India),2001-2001,1,2,0,2,2,1,0,0,1
Sarandeep Singh (India),2000-2002,3,2,1,43,39*,43,0,0,0
DN Sardesai (India),1961-1972,30,55,4,2001,212,39.23,5,9,4
CT Sarwate (India),1946-1951,9,17,1,208,37,13,0,0,4
RC Saxena (India),1967-1967,1,2,0,25,16,12.5,0,0,0
V Sehwag (India),2001-2013,103,178,6,8503,319,49.43,23,31,16
TAP Sekhar (India),1983-1983,2,1,1,0,0*,-,0,0,0
PK Sen (India),1948-1952,14,18,4,165,25,11.78,0,0,1
AK Sengupta (India),1959-1959,1,2,0,9,8,4.5,0,0,0
AK Sharma (India),1988-1988,1,2,0,53,30,26.5,0,0,0
C Sharma (India),1984-1989,23,27,9,396,54,22,0,1,2
G Sharma (India),1985-1990,5,4,1,11,10*,3.66,0,0,2
I Sharma (India),2007-2018,81,110,42,572,31*,8.41,0,0,26
KV Sharma (India),2014-2014,1,2,1,8,4*,8,0,0,0
PH Sharma (India),1974-1977,5,10,0,187,54,18.7,0,1,0
RG Sharma (India),2013-2018,25,43,6,1479,177,39.97,3,9,4
SK Sharma (India),1988-1990,2,3,1,56,38,28,0,0,1
RJ Shastri (India),1981-1992,80,121,14,3830,206,35.79,11,12,9
SG Shinde (India),1946-1952,7,11,5,85,14,14.16,0,0,0
RH Shodhan (India),1952-1953,3,4,1,181,110,60.33,1,0,0
RC Shukla (India),1982-1982,1,-,-,-,-,-,-,-,-
IR Siddiqui (India),2001-2001,1,2,1,29,24,29,0,0,0
NS Sidhu (India),1983-1999,51,78,2,3202,201,42.13,9,15,9
R Singh (India),1999-1999,1,1,0,0,0,0,0,0,1
RP Singh (India),2006-2011,14,19,3,116,30,7.25,0,0,7
RR Singh (India),1998-1998,1,2,0,27,15,13.5,0,0,0
VRV Singh (India),2006-2007,5,6,2,47,29,11.75,0,0,0
L Sivaramakrishnan (India),1983-1986,9,9,1,130,25,16.25,0,0,1
SW Sohoni (India),1946-1951,4,7,2,83,29*,16.6,0,0,0
ED Solkar (India),1969-1977,27,48,6,1068,102,25.42,1,6,1
MM Sood (India),1960-1960,1,2,0,3,3,1.5,0,0,1
S Sreesanth (India),2006-2011,27,40,13,281,35,10.4,0,0,10
K Srikkanth (India),1981-1992,43,72,3,2062,123,29.88,2,12,7
J Srinath (India),1991-2002,67,92,21,1009,76,14.21,0,4,13
TE Srinivasan (India),1981-1981,1,2,0,48,29,24,0,0,0
V Subramanya (India),1965-1968,9,15,1,263,75,18.78,0,2,1
GR Sunderam (India),1955-1956,2,1,1,3,3*,-,0,0,0
Surendranath (India),1958-1961,11,20,7,136,27,10.46,0,0,4
RF Surti (India),1960-1969,26,48,4,1263,99,28.7,0,9,5
VN Swamy (India),1955-1955,1,-,-,-,-,-,-,-,-
NS Tamhane (India),1955-1961,21,27,5,225,54*,10.22,0,1,8
KK Tarapore (India),1948-1948,1,1,0,2,2,2,0,0,0
SR Tendulkar (India),1989-2013,200,329,33,15921,248*,53.78,51,68,14
PR Umrigar (India),1948-1962,59,94,8,3631,223,42.22,12,14,5
JD Unadkat (India),2010-2010,1,2,1,2,1*,2,0,0,0
DB Vengsarkar (India),1976-1992,116,185,22,6868,166,42.13,17,35,15
S Venkataraghavan (India),1965-1983,57,76,12,748,64,11.68,0,2,13
M Venkataramana (India),1989-1989,1,2,2,0,0*,-,0,0,0
M Vijay (India),2008-2018,56,96,1,3802,167,40.02,11,15,5
R Vijay Bharadwaj (India),1999-2000,3,3,0,28,22,9.33,0,0,1
R Vinay Kumar (India),2012-2012,1,2,0,11,6,5.5,0,0,0
GR Viswanath (India),1969-1983,91,155,10,6080,222,41.93,14,35,10
S Viswanath (India),1985-1985,3,5,0,31,20,6.2,0,0,2
Vizianagram (India),1936-1936,3,6,2,33,19*,8.25,0,0,0
AL Wadekar (India),1966-1974,37,71,3,2113,143,31.07,1,14,7
AS Wassan (India),1990-1990,4,5,1,94,53,23.5,0,1,1
S Wazir Ali (India),1932-1936,7,14,0,237,42,16.92,0,0,1
J Yadav (India),2016-2017,4,6,1,228,104,45.6,1,1,0
NS Yadav (India),1979-1987,35,40,12,403,43,14.39,0,0,4
UT Yadav (India),2011-2017,36,40,17,226,30,9.82,0,0,4
V Yadav (India),1993-1993,1,1,0,30,30,30,0,0,0
Yajurvindra Singh (India),1977-1979,4,7,1,109,43*,18.16,0,0,0
Yashpal Sharma (India),1979-1983,37,59,11,1606,140,33.45,2,9,4
B Yograj Singh (India),1981-1981,1,2,0,10,6,5,0,0,0
T Yohannan (India),2001-2002,3,4,4,13,8*,-,0,0,0
Yuvraj Singh (India),2003-2012,40,62,6,1900,169,33.92,3,11,7
A Balbirnie (Ireland),,1,2,0,0,0,0,0,0,2
EC Joyce (Ireland),,1,2,0,47,43,23.5,0,0,0
TE Kane (Ireland),,1,2,0,14,14,7,0,0,1
TJ Murtagh (Ireland),,1,2,1,10,5*,10,0,0,0
KJ O'Brien (Ireland),,1,2,0,158,118,79,1,0,0
NJ O'Brien (Ireland),,1,2,0,18,18,9,0,0,1
WTS Porterfield (Ireland),,1,2,0,33,32,16.5,0,0,0
WB Rankin (Ireland),,1,2,0,23,17,11.5,0,0,0
PR Stirling (Ireland),,1,2,0,28,17,14,0,0,0
SR Thompson (Ireland),,1,2,0,56,53,28,0,1,0
GC Wilson (Ireland),,1,2,1,45,33*,45,0,0,0
AR Adams (New Zealand),2002-2002,1,2,0,18,11,9,0,0,0
JC Alabaster (New Zealand),1955-1972,21,34,6,272,34,9.71,0,0,2
CFW Allcott (New Zealand),1930-1932,6,7,2,113,33,22.6,0,0,0
GI Allott (New Zealand),1996-1999,10,15,7,27,8*,3.37,0,0,4
CJ Anderson (New Zealand),2013-2016,13,22,1,683,116,32.52,1,4,3
RW Anderson (New Zealand),1976-1978,9,18,0,423,92,23.5,0,3,1
WM Anderson (New Zealand),1946-1946,1,2,0,5,4,2.5,0,0,0
B Andrews (New Zealand),1973-1974,2,3,2,22,17,22,0,0,0
BJ Arnel (New Zealand),2010-2012,6,12,4,45,8*,5.62,0,0,3
