Mat,Inns,NO,Runs,HS,Ave,100,50,0
7,12,2,245,51,24.5,0,1,1
10,17,1,239,43,14.93,0,0,1
7,14,1,231,68,17.76,0,1,0
10,18,0,209,23,11.61,0,0,3
10,19,0,193,42,10.15,0,0,3
7,14,2,174,60,14.5,0,1,2
7,14,1,172,69,13.23,0,1,4
6,12,1,160,58,14.54,0,1,1
6,11,4,140,36*,20,0,0,1
6,11,0,140,41,12.72,0,0,2
8,13,1,139,73,11.58,0,1,3
7,10,1,138,36,15.33,0,0,0
6,11,3,128,32,16,0,0,3
2,4,1,122,44*,40.66,0,0,0
8,13,2,111,30*,10.09,0,0,1
6,9,0,109,33,12.11,0,0,2
6,11,0,108,33,9.81,0,0,1
4,8,0,106,39,13.25,0,0,2
5,10,0,97,31,9.7,0,0,2
2,4,0,95,42,23.75,0,0,0
7,12,1,88,26,8,0,0,4
8,16,2,86,15,6.14,0,0,3
2,4,0,79,56,19.75,0,1,0
3,6,0,75,39,12.5,0,0,1
9,16,0,75,11,4.68,0,0,2
3,6,0,67,41,11.16,0,0,1
3,6,2,64,29,16,0,0,0
3,6,1,52,18,10.4,0,0,1
2,4,0,51,35,12.75,0,0,0
2,4,0,50,26,12.5,0,0,1
2,4,1,48,17,16,0,0,0
2,4,0,48,24,12,0,0,0
2,4,0,42,29,10.5,0,0,0
2,3,0,39,18,13,0,0,0
2,4,0,39,30,9.75,0,0,2
1,2,0,32,21,16,0,0,0
1,2,0,32,20,16,0,0,0
